,precision,recall,f1-score,support
accept_reservations,0.9,0.9,0.9,30.0
account_blocked,0.9642857142857143,0.9,0.9310344827586207,30.0
alarm,0.9090909090909091,1.0,0.9523809523809523,30.0
application_status,0.967741935483871,1.0,0.9836065573770492,30.0
apr,0.967741935483871,1.0,0.9836065573770492,30.0
are_you_a_bot,1.0,0.9666666666666667,0.9830508474576272,30.0
balance,0.967741935483871,1.0,0.9836065573770492,30.0
bill_balance,0.8888888888888888,0.8,0.8421052631578947,30.0
bill_due,0.8,0.9333333333333333,0.8615384615384616,30.0
book_flight,1.0,0.9666666666666667,0.9830508474576272,30.0
book_hotel,1.0,1.0,1.0,30.0
calculator,0.875,0.9333333333333333,0.9032258064516129,30.0
calendar,0.92,0.7666666666666667,0.8363636363636363,30.0
calendar_update,0.8529411764705882,0.9666666666666667,0.90625,30.0
calories,1.0,1.0,1.0,30.0
cancel,0.7894736842105263,1.0,0.8823529411764706,30.0
cancel_reservation,1.0,1.0,1.0,30.0
car_rental,0.967741935483871,1.0,0.9836065573770492,30.0
card_declined,1.0,0.8,0.8888888888888888,30.0
carry_on,1.0,0.9333333333333333,0.9655172413793104,30.0
change_accent,0.967741935483871,1.0,0.9836065573770492,30.0
change_ai_name,0.7105263157894737,0.9,0.7941176470588235,30.0
change_language,0.9090909090909091,1.0,0.9523809523809523,30.0
change_speed,0.967741935483871,1.0,0.9836065573770492,30.0
change_user_name,0.92,0.7666666666666667,0.8363636363636363,30.0
change_volume,0.8928571428571429,0.8333333333333334,0.8620689655172413,30.0
confirm_reservation,1.0,1.0,1.0,30.0
cook_time,1.0,0.9333333333333333,0.9655172413793104,30.0
credit_limit,0.9,0.9,0.9,30.0
credit_limit_change,0.9354838709677419,0.9666666666666667,0.9508196721311475,30.0
credit_score,0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0
current_location,0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0
damaged_card,0.8108108108108109,1.0,0.8955223880597015,30.0
date,1.0,0.9666666666666667,0.9830508474576272,30.0
definition,1.0,0.9666666666666667,0.9830508474576272,30.0
direct_deposit,1.0,1.0,1.0,30.0
directions,0.967741935483871,1.0,0.9836065573770492,30.0
distance,0.967741935483871,1.0,0.9836065573770492,30.0
do_you_have_pets,1.0,1.0,1.0,30.0
exchange_rate,1.0,1.0,1.0,30.0
expiration_date,0.9655172413793104,0.9333333333333333,0.9491525423728814,30.0
find_phone,1.0,1.0,1.0,30.0
flight_status,1.0,1.0,1.0,30.0
flip_coin,1.0,1.0,1.0,30.0
food_last,0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0
freeze_account,0.8823529411764706,1.0,0.9375,30.0
fun_fact,0.967741935483871,1.0,0.9836065573770492,30.0
gas,1.0,0.9333333333333333,0.9655172413793104,30.0
gas_type,0.967741935483871,1.0,0.9836065573770492,30.0
goodbye,0.9655172413793104,0.9333333333333333,0.9491525423728814,30.0
greeting,0.967741935483871,1.0,0.9836065573770492,30.0
how_busy,1.0,0.8666666666666667,0.9285714285714286,30.0
how_old_are_you,1.0,1.0,1.0,30.0
improve_credit_score,0.9,0.9,0.9,30.0
income,0.9333333333333333,0.9333333333333333,0.9333333333333333,30.0
ingredient_substitution,0.9285714285714286,0.8666666666666667,0.896551724137931,30.0
ingredients_list,0.9655172413793104,0.9333333333333333,0.9491525423728814,30.0
insurance,1.0,1.0,1.0,30.0
insurance_change,1.0,0.9,0.9473684210526315,30.0
interest_rate,1.0,0.9666666666666667,0.9830508474576272,30.0
international_fees,0.9375,1.0,0.967741935483871,30.0
international_visa,0.967741935483871,1.0,0.9836065573770492,30.0
jump_start,1.0,1.0,1.0,30.0
last_maintenance,0.967741935483871,1.0,0.9836065573770492,30.0
lost_luggage,1.0,1.0,1.0,30.0
make_call,0.8108108108108109,1.0,0.8955223880597015,30.0
maybe,0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0
meal_suggestion,0.8571428571428571,0.8,0.8275862068965517,30.0
meaning_of_life,1.0,0.9333333333333333,0.9655172413793104,30.0
measurement_conversion,0.9655172413793104,0.9333333333333333,0.9491525423728814,30.0
meeting_schedule,0.9375,1.0,0.967741935483871,30.0
min_payment,0.967741935483871,1.0,0.9836065573770492,30.0
mpg,0.967741935483871,1.0,0.9836065573770492,30.0
new_card,0.8235294117647058,0.9333333333333333,0.875,30.0
next_holiday,0.967741935483871,1.0,0.9836065573770492,30.0
next_song,1.0,1.0,1.0,30.0
no,0.8787878787878788,0.9666666666666667,0.9206349206349206,30.0
nutrition_info,1.0,1.0,1.0,30.0
oil_change_how,0.8333333333333334,1.0,0.9090909090909091,30.0
oil_change_when,0.9333333333333333,0.9333333333333333,0.9333333333333333,30.0
order,0.8125,0.8666666666666667,0.8387096774193549,30.0
order_checks,0.967741935483871,1.0,0.9836065573770492,30.0
order_status,0.9375,1.0,0.967741935483871,30.0
pay_bill,0.9333333333333333,0.9333333333333333,0.9333333333333333,30.0
payday,0.9629629629629629,0.8666666666666667,0.9122807017543859,30.0
